date,open,high,low,close
2026-05-04 11:25:00+05:30,39.75,43.4,38.85,39.7
2026-05-04 11:30:00+05:30,40.65,42.9,37.65,40.95
2026-05-04 11:35:00+05:30,40.8,44.15,37.7,39.3
2026-05-04 11:40:00+05:30,40.15,43.75,35.85,40.55
2026-05-04 11:45:00+05:30,40.1,41.35,34.6,38
2026-05-04 11:50:00+05:30,38.85,42.65,36.1,41.5
2026-05-04 11:55:00+05:30,40.75,45.75,40.65,41.05
2026-05-04 12:00:00+05:30,40.15,46.2,38.85,44.3
2026-05-04 12:05:00+05:30,43.85,53.3,41.3,51.5
2026-05-04 12:10:00+05:30,52.4,85.9,51.5,84.3
2026-05-04 12:15:00+05:30,85.6,89.1,68.15,68.15
2026-05-04 12:20:00+05:30,67.4,82,62.6,71.8
2026-05-04 12:25:00+05:30,71.95,76.45,67.75,75.4
2026-05-04 12:30:00+05:30,75.4,87.15,74.35,86
2026-05-04 12:35:00+05:30,85.7,86.95,74.75,76.4
2026-05-04 12:40:00+05:30,75.35,89.1,69.55,87.4
2026-05-04 12:45:00+05:30,87.85,94.5,78.25,86.55
2026-05-04 12:50:00+05:30,86.75,88.5,75.7,81.75
2026-05-04 12:55:00+05:30,81.5,85.8,75.5,83.6
2026-05-04 13:00:00+05:30,81.85,92.2,81.25,85.15
2026-05-04 13:05:00+05:30,84.2,89.65,77.1,77.55
2026-05-04 13:10:00+05:30,79.3,81.95,72.55,79.05
2026-05-04 13:15:00+05:30,78.7,96.05,78.4,82
2026-05-04 13:20:00+05:30,83.15,103.4,83.15,95
2026-05-04 13:25:00+05:30,96.8,126.3,87,124.6
2026-05-04 13:30:00+05:30,129.2,138.5,112.7,127.35
2026-05-04 13:35:00+05:30,128.05,134.2,113.3,114.35
2026-05-04 13:40:00+05:30,114,114.75,84.6,86.9
2026-05-04 13:45:00+05:30,85.7,90.6,82.1,83.4
2026-05-04 13:50:00+05:30,83.25,88.95,74.8,86.05
2026-05-04 13:55:00+05:30,87.4,106.6,85.15,91.85
2026-05-04 14:00:00+05:30,92.4,106.4,87.95,96.7
2026-05-04 14:05:00+05:30,97,103.6,92.2,95.3
2026-05-04 14:10:00+05:30,94.05,94.65,75.5,78.75
2026-05-04 14:15:00+05:30,77.7,79.4,57.15,62.1
2026-05-04 14:20:00+05:30,62.6,70.4,58.3,67.75
2026-05-04 14:25:00+05:30,68.45,74.85,62.75,68.25
2026-05-04 14:30:00+05:30,67.8,76.4,64.05,68.8
2026-05-04 14:35:00+05:30,70.4,77.85,66.65,73.15
2026-05-04 14:40:00+05:30,72.75,92.05,71.45,79.95
2026-05-04 14:45:00+05:30,80.15,93.4,80.15,87.4
2026-05-04 14:50:00+05:30,86.65,91.35,71.6,72.05
2026-05-04 14:55:00+05:30,72.55,88.4,64.95,78.25
2026-05-04 15:00:00+05:30,75.65,87.7,70.3,74.85
2026-05-04 15:05:00+05:30,74.3,75.45,60.5,63
2026-05-04 15:10:00+05:30,61,64.2,50.65,59.8
2026-05-04 15:15:00+05:30,59.2,64.1,51.25,57.1
2026-05-04 15:20:00+05:30,57,60,54.8,59.2
2026-05-04 15:25:00+05:30,59.45,61.5,56.05,60.5
