month,trade_date,strike,side,entry_time,entry_price,exit_time,exit_price,pnl,exit_reason,pivot,mfe,mae,plus20_hit,plus40_hit,loss_count_after_trade,daily_pnl_after_trade,entry_ema20,entry_above_ema20,distance_from_ema20,previous_candle_touched_ema20,current_candle_touched_ema20,entry_candle_color,entry_near_ema20_5pts,entry_near_ema20_10pts,entry_near_ema20_15pts
May,2026-05-04,24050,CE,2026-05-04 13:10:00,170.05,2026-05-04 13:20:00,143.05,-27.0,stop,167.5,1.799999999999983,-38.45000000000002,False,False,1,-27.0,191.63768373804461,False,-21.587683738044603,False,False,red,False,False,False
May,2026-05-04,24050,CE,2026-05-04 15:20:00,172.35,2026-05-04 15:25:00,155.95,-16.400000000000006,stop,167.5,3.25,-17.299999999999983,False,False,2,-43.400000000000006,167.60811085793353,True,4.741889142066469,True,True,red,True,True,True
May,2026-05-06,24150,CE,2026-05-06 11:05:00,190.0,2026-05-06 12:15:00,173.5,-16.5,stop,187.0,10.900000000000006,-18.0,False,False,1,-16.5,200.0888501305592,False,-10.088850130559194,False,False,green,False,False,True
May,2026-05-06,24150,CE,2026-05-06 13:25:00,189.85,2026-05-06 15:25:00,363.4,173.54999999999998,end_of_day,187.0,195.04999999999998,-2.8499999999999943,True,True,1,157.04999999999998,176.6728660137715,True,13.177133986228483,False,False,green,False,False,True
May,2026-05-07,24400,PE,2026-05-07 13:25:00,195.2,2026-05-07 15:15:00,172.25,-22.94999999999999,stop,194.425,21.950000000000017,-27.649999999999977,True,False,1,-22.94999999999999,186.1186716813006,True,9.081328318699377,False,False,red,False,True,True
May,2026-05-08,24250,PE,2026-05-08 10:00:00,185.6,2026-05-08 10:20:00,160.25,-25.349999999999994,stop,181.975,13.200000000000017,-27.0,False,False,1,-25.349999999999994,161.87772601813788,True,23.722273981862116,False,False,green,False,False,False
May,2026-05-08,24250,PE,2026-05-08 12:10:00,183.5,2026-05-08 13:25:00,167.6,-15.900000000000006,stop,181.975,25.44999999999999,-18.150000000000006,True,False,2,-41.25,173.41954710062575,True,10.08045289937425,True,False,red,False,False,True
May,2026-05-08,24250,PE,2026-05-08 13:40:00,185.55,2026-05-08 14:05:00,184.35,-1.200000000000017,stop,181.975,37.79999999999998,-4.5,True,False,3,-42.45000000000002,184.9289462029068,True,0.6210537970932251,True,True,green,True,True,True
May,2026-05-11,23950,PE,2026-05-11 10:55:00,141.6,2026-05-11 11:10:00,122.3,-19.299999999999997,stop,138.2,5.099999999999994,-24.5,False,False,1,-19.299999999999997,137.77876272776254,True,3.821237272237454,False,True,green,True,True,True
May,2026-05-15,23750,PE,2026-05-15 11:10:00,173.3,2026-05-15 12:00:00,164.0,-9.300000000000011,stop,170.225,46.69999999999999,-9.950000000000017,True,True,1,-9.300000000000011,153.60446457815374,True,19.695535421846273,False,False,red,False,False,False
May,2026-05-15,23750,CE,2026-05-15 13:00:00,170.25,2026-05-15 13:35:00,153.05,-17.19999999999999,stop,170.225,9.949999999999989,-22.150000000000006,False,False,2,-26.5,164.77479657836503,True,5.475203421634973,False,False,red,False,True,True
May,2026-05-18,23500,CE,2026-05-18 14:50:00,160.55,2026-05-18 15:05:00,185.55,25.0,stop,155.0,74.1,-17.25,True,True,0,25.0,172.35032521172462,False,-11.800325211724612,True,False,green,False,False,True
May,2026-05-20,23450,PE,2026-05-20 09:25:00,224.4,2026-05-20 09:30:00,206.6,-17.80000000000001,stop,219.225,0.0,-22.05000000000001,False,False,1,-17.80000000000001,162.00696774774283,True,62.39303225225717,False,False,red,False,False,False
May,2026-05-21,23850,PE,2026-05-21 10:15:00,216.0,2026-05-21 11:20:00,263.25,47.25,stop,215.7,108.0,-12.449999999999989,True,True,0,47.25,245.5756598231281,False,-29.575659823128092,False,False,red,False,False,False
May,2026-05-22,23650,CE,2026-05-22 14:45:00,182.65,2026-05-22 15:25:00,213.55,30.900000000000006,end_of_day,177.5,33.04999999999998,-23.849999999999994,True,False,0,30.900000000000006,211.53542615477267,False,-28.88542615477266,False,False,green,False,False,False
May,2026-05-25,23950,CE,2026-05-25 09:40:00,115.15,2026-05-25 12:25:00,98.85,-16.30000000000001,stop,111.825,16.299999999999983,-16.85000000000001,False,False,1,-16.30000000000001,90.2304111535487,True,24.919588846451305,False,False,green,False,False,False
May,2026-05-25,23950,CE,2026-05-25 14:30:00,113.2,2026-05-25 15:25:00,190.0,76.8,end_of_day,111.825,79.7,-2.200000000000003,True,True,1,60.499999999999986,102.27662517898882,True,10.92337482101118,True,False,green,False,False,True
May,2026-05-27,23900,CE,2026-05-27 10:10:00,197.75,2026-05-27 11:35:00,197.7,-0.05000000000001137,stop,191.5,25.25,-16.150000000000006,True,False,1,-0.05000000000001137,191.3759146185927,True,6.374085381407298,True,True,green,False,True,True
May,2026-05-27,23900,CE,2026-05-27 15:20:00,193.2,2026-05-27 15:25:00,188.0,-5.199999999999989,end_of_day,191.5,4.550000000000011,-6.5,False,False,2,-5.25,169.47503375054282,True,23.724966249457168,False,False,green,False,False,False
May,2026-05-29,23900,CE,2026-05-29 10:50:00,157.0,2026-05-29 12:10:00,131.75,-25.25,stop,156.425,17.900000000000006,-30.799999999999997,False,False,1,-25.25,172.28972467476245,False,-15.289724674762454,False,False,red,False,False,False
Jun,2026-06-01,23650,PE,2026-06-01 10:10:00,143.3,2026-06-01 10:45:00,128.9,-14.400000000000006,stop,135.125,21.69999999999999,-19.200000000000017,True,False,1,-14.400000000000006,116.75832558021041,True,26.5416744197896,False,False,green,False,False,False
Jun,2026-06-01,23650,PE,2026-06-01 11:50:00,135.5,2026-06-01 12:10:00,157.45,21.94999999999999,stop,135.125,51.650000000000006,-0.5,True,True,1,7.549999999999983,127.36518218664114,True,8.134817813358865,False,False,green,False,True,True
Jun,2026-06-03,23400,CE,2026-06-03 13:00:00,170.55,2026-06-03 15:05:00,237.8,67.25,stop,170.1,129.39999999999998,-9.450000000000017,True,True,0,67.25,155.2626815436998,True,15.287318456300198,False,False,green,False,False,False
Jun,2026-06-04,23300,CE,2026-06-04 13:50:00,211.2,2026-06-04 14:50:00,241.05,29.850000000000023,stop,200.15,75.30000000000001,-12.399999999999977,True,True,0,29.850000000000023,226.59409334334896,False,-15.39409334334897,False,False,red,False,False,False
Jun,2026-06-08,23100,CE,2026-06-08 14:30:00,139.55,2026-06-08 15:00:00,110.95,-28.60000000000001,stop,138.425,25.19999999999999,-34.35000000000001,True,False,1,-28.60000000000001,162.89448207484747,False,-23.344482074847463,False,False,green,False,False,False
Jun,2026-06-11,23100,CE,2026-06-11 15:05:00,180.65,2026-06-11 15:25:00,208.8,28.150000000000006,end_of_day,175.5,28.650000000000006,-0.6500000000000057,True,False,0,28.150000000000006,218.64624422819043,False,-37.99624422819042,False,False,green,False,False,False
Jun,2026-06-12,23400,CE,2026-06-12 09:30:00,150.25,2026-06-12 09:40:00,130.8,-19.44999999999999,stop,143.5,0.0,-23.299999999999997,False,False,1,-19.44999999999999,98.20675319861456,True,52.043246801385436,False,False,green,False,False,False
Jun,2026-06-12,23400,PE,2026-06-12 09:50:00,153.3,2026-06-12 13:25:00,123.8,-29.500000000000014,stop,143.5,29.94999999999999,-49.60000000000001,True,False,2,-48.95,195.59626210340588,False,-42.296262103405866,False,False,green,False,False,False
Jun,2026-06-15,24000,PE,2026-06-15 10:50:00,107.35,2026-06-15 13:05:00,132.55,25.200000000000017,stop,106.925,57.650000000000006,-2.5999999999999943,True,True,0,25.200000000000017,168.26301665869363,False,-60.913016658693635,False,False,red,False,False,False
Jun,2026-06-17,24050,CE,2026-06-17 09:50:00,170.7,2026-06-17 11:55:00,154.55,-16.149999999999977,stop,169.25,11.25,-16.25,False,False,1,-16.149999999999977,144.71384062091226,True,25.986159379087724,False,False,green,False,False,False
Jun,2026-06-17,24050,PE,2026-06-17 12:30:00,169.8,2026-06-17 13:35:00,154.75,-15.050000000000011,stop,169.25,13.949999999999989,-18.30000000000001,False,False,2,-31.19999999999999,164.52030397941087,True,5.279696020589142,False,False,green,False,True,True
Jun,2026-06-17,24050,PE,2026-06-17 14:30:00,171.0,2026-06-17 14:55:00,140.1,-30.900000000000006,stop,169.25,2.8499999999999943,-30.900000000000006,False,False,3,-62.099999999999994,166.2299899010318,True,4.770010098968214,True,False,red,True,True,True
Jun,2026-06-18,24050,CE,2026-06-18 09:30:00,144.15,2026-06-18 10:35:00,132.75,-11.400000000000006,stop,142.775,31.25,-11.400000000000006,True,False,1,-11.400000000000006,152.8809484383969,False,-8.730948438396894,False,False,red,False,True,True
Jun,2026-06-18,24050,CE,2026-06-18 14:20:00,144.35,2026-06-18 15:25:00,197.35,53.0,end_of_day,142.775,54.599999999999994,-17.5,True,True,1,41.599999999999994,147.96682300404535,False,-3.616823004045358,False,False,green,True,True,True
